Part Number,Component,Supplier No.,Country,Price (USD)
BRK-001,Brake Pad (Front),SUP-1001,Germany,12.0
BRK-001,Brake Pad (Front),SUP-1101,China,14.5
BRK-002,Brake Pad (Rear),SUP-1001,Germany,10.0
BRK-002,Brake Pad (Rear),SUP-1101,China,9.5
BRK-003,Brake Disc (Front),SUP-1001,Germany,25.0
BRK-003,Brake Disc (Front),SUP-1201,Mexico,23.0
BRK-004,Brake Disc (Rear),SUP-1001,Germany,20.0
BRK-004,Brake Disc (Rear),SUP-1101,China,19.0
BRK-005,Brake Caliper,SUP-1001,Germany,45.0
BRK-005,Brake Caliper,SUP-1101,China,47.0
BRK-006,Brake Hose,SUP-1001,Germany,5.0
BRK-006,Brake Hose,SUP-1101,China,4.8
BRK-007,Master Cylinder,SUP-1001,Germany,30.0
BRK-007,Master Cylinder,SUP-1201,Mexico,29.0
BRK-008,ABS Sensor,SUP-1001,Germany,18.0
BRK-008,ABS Sensor,SUP-1101,China,17.5
BRK-009,Brake Fluid Res.,SUP-1001,Germany,7.0
BRK-009,Brake Fluid Res.,SUP-1101,China,6.8
BRK-010,Pad Wear Sensor,SUP-1001,Germany,3.5
BRK-010,Pad Wear Sensor,SUP-1101,China,3.3
